Segment,Scores,Activity,Actionable Tip
About To Sleep,213,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,221,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,231,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,241,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,251,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,312,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,321,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,331,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
At Risk,124,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,125,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,133,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,134,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,135,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,142,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,143,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
